loc_str,Long,Lat
Karitane Beach South Island NEW ZEALAND,-45.6258843,170.646196
"Windang,       Lake Illawara New South Wales AUSTRALIA",-34.5224859,150.8066886
Binalong Bay Tasmania AUSTRALIA,-41.2534239,148.2128642
Fingal Beach New South Wales AUSTRALIA,-32.7417306,152.1697001
Hawkes Bay North Island NEW ZEALAND,-39.4996908,175.9125224
Isla Isabella Galapagos Islands ECUADOR,-0.441438,-91.7479193
Haumoana  North Island NEW ZEALAND,-39.6311493,176.9076047
Guantanamo Guantanamo Province CUBA,20.1469975,-75.2364928
Port Kennedy Beach Western Australia AUSTRALIA,-32.2593452,115.5943323
near Schouten Island Tasmania AUSTRALIA,-42.3184614,148.2558183
Seal Rocks New South Wales AUSTRALIA,-32.4226072,152.4714344
"Long Reef, north of Sydney New South Wales AUSTRALIA",-33.7426335,151.3026157
"Dillon Beach, Marin County California USA",38.2481522,-122.991806
Maraetai North Island NEW ZEALAND,-36.8880456,175.0225984
Plettenberg Bay Western Cape Province SOUTH AFRICA,-34.061083,23.3262523
Chidenguele Inhambane Province MOZAMBIQUE,-24.9172206,34.1839487
Elphinstone Reef Red Sea EGYPT,25.3095025,34.8582458
Santa Cruz Galapagos Islands ECUADOR,-0.6284935,-90.4996426
North Haven South Australia AUSTRALIA,-34.7865336,138.4804646
"Oceanworld, Manley New South Wales AUSTRALIA",-33.7990623,151.2791744
Darwin Northern Territory AUSTRALIA,-12.4258916,130.8632673
"Santa Rosa Beach, Walton County Florida USA",30.3960316,-86.237587
"Smokvina Bay, Vis Island  Split-Dalmatia Count, CROATIA",43.0434429,16.0835261
Bethune Beach Florida USA,28.9491531,-80.8465848
Near Croker Island Northern Territory AUSTRALIA,-11.162849,132.4062875
"Ormond-by-the-Sea, Volusia County Florida USA",29.3452224,-81.102698
"Ka'a'awa, Oahu Hawaii USA",21.5489774,-157.8702102
"Clarks Beach, Byron Bay New South Wales AUSTRALIA",-28.6405253,153.6198808
"Ponce Inlet, New Smyrna Beach, Volusia County Florida USA",29.0623141,-80.9713618
Hutchinson Island Florida USA,27.3193796,-80.373272
"McKenzie Beach Park in Pahoa, Hawai'i  Hawaii USA",19.4372951,-154.8673795
Lundy Island North Devon ENGLAND,51.1803331,-4.6999652
"Surf City, Topsail Island, Pender County North Carolina USA",34.4278689,-77.5917781
Buck Island US Virgin Islands USA,17.7868595,-64.6238687
"Ala Moana Beach Park, Oah'u Hawaii USA",21.2896696,-157.8506737
Playa Teta San Carlos PANAMA,8.5193636,-79.906016
"Honokowai, Maui Hawaii USA",20.9733725,-156.7020858
"Lahilahi Point, Oahu Hawaii USA",21.4618181,-158.2135295
"Carolina Beach, New Hanover County North Carolina USA",34.0381564,-77.929654
"Emerald Isle, Carteret County North Carolina USA",34.663818,-77.076429
"Litchfield Beach, Georgetown County South Carolina USA",33.466834,-79.108518
"Rock-a-Nore, Hastings Sussex UNITED KINGDOM",50.8559885,0.5934912
"Kamilo Point, Hawai'i Hawaii USA",18.9777772,-155.6073659
Mossel Bay Western Cape Province SOUTH AFRICA,-34.1508947,22.0061818
Struis Bay Western Cape Province SOUTH AFRICA,-34.7884584,19.9913069
Guarajuba Bahia BRAZIL,-12.6500308,-38.0913164
"West Cove, Catalina Island California USA",33.3889062,-118.5950026
"Fernandina Beach, Nassau County Florida USA",30.6551148,-81.5261403
Albany Western Australia AUSTRALIA,-35.0280667,117.8754271
Troncones Beach Guerro MEXICO,17.7819692,-101.7352628
