loc_str,Long,Lat
Nettley Bay Tasmania AUSTRALIA,-40.9299991,144.6112452
Stradbroke Island Queensland AUSTRALIA,-27.563166,153.3298074
Hams Beach New South Wales AUSTRALIA,-33.0977816,151.6556782
"Hanalei Bay, Kauai Hawaii USA",22.207262,-159.5158428
"Happy Valley Beach, Caloundra Queensland AUSTRALIA",-26.8072286,153.1315832
Heron Island Queensland AUSTRALIA,-23.4423244,151.9107569
Miall Island Queensland AUSTRALIA,-23.123799,150.8372401
Westbrook Beach KwaZulu-Natal SOUTH AFRICA,-29.5958522,31.1591567
"Arinaga Beach, Aguimes, Gran Canaria Grand Canary Island SPAIN",27.858225,-15.3969257
La'aloa Beach Park Hawaii USA,19.594373,-155.9740204
Bondi Beach New South Wales AUSTRALIA,-33.8909748,151.2639875
Fernano de Noronha Pernambuco BRAZIL,-3.8447969,-32.4619115
Lake Macquarie New South Wales AUSTRALIA,-33.0684731,151.4431429
"Punta Vicente Roca, Isabella Island Galapagos Islands ECUADOR",-0.3830326,-91.5448685
"Playalinda Beach, Brevard County Florida USA",28.655517,-80.6405835
"Palm Beach, Palm Beach County Florida USA",26.6835908,-80.1097533
East Ballina New South Wales AUSTRALIA,-28.8586176,153.5718324
"Paradise Beach, Melbourne, Brevard County Florida USA",28.1229901,-80.579149
"Kehena Beach, Hawaii Hawaii USA",19.3946571,-154.9378426
"Big Talbot Island, Duval County Florida USA",28.3286305,-80.6596442
"Jacksonville Beach, Duval County Florida USA",30.2799688,-81.4090312
North Shelly Beach New South Wales AUSTRALIA,-33.3699235,151.4760154
"El Pescador Beach, Los Angeles County California USA",34.0392014,-118.8921556
Shelly Beach New South Wales AUSTRALIA,-33.3699235,151.4760154
"Seven Mile Beach, Byron Bay New South Wales AUSTRALIA",-28.71036,153.6146432
Mereweather Beach New South Wales AUSTRALIA,-32.9473114,151.7571767
"Nerang River, Surfer's  Paradise Queensland AUSTRALIA",-27.9880901,153.4023369
Lahaina Hawaii USA,20.887858,-156.7093172
Flat Rock New South Wales AUSTRALIA,-31.3088745,150.1595624
Nahoon Beach Eastern Cape Province SOUTH AFRICA,-32.9860439,27.9389625
Off Panama City Florida USA,30.064319,-85.4654473
"Wategos Beach, Byon Bay New South Wales AUSTRALIA",-28.6358817,153.6318585
"Mollymook Beach, Bannister Head New South Wales AUSTRALIA",-35.3201228,150.4733786
"Tahiti Beach, Elbow Cay Abaco Islands BAHAMAS",26.5003569,-76.9867538
Chintsa East Beach Eastern Cape Province SOUTH AFRICA,-32.8289158,28.0969174
"Windsor Beach, Indian River County Florida USA",27.7886508,-80.4167556
Bherwerre Beach New South Wales AUSTRALIA,-35.1500772,150.6425586
Three Stripes near Cheynes Beach Western Australia AUSTRALIA,-34.88414,118.4024403
Durban KwaZulu-Natal SOUTH AFRICA,-29.8483609,30.9224218
"Montaí±a de Oro State Park, San Luis Obispo County  California USA",35.2723111,-120.8889701
Paradise Beach Victoria AUSTRALIA,-38.191931,147.3986346
Rudder Reef Queensland AUSTRALIA,-16.189154,145.6322749
"Pyramids Beach, Port Bouvard Western Australia AUSTRALIA",-32.6057389,115.6313116
Freo Western Australia AUSTRALIA,-32.0525619,115.7384503
"Franklin Point, San Mateo County California USA",37.1496681,-122.369284
"Indian Harbor Beach, Brevard County Florida USA",28.1553124,-80.6141345
"Airplane Beach, Lahina, West Maui Hawaii USA",20.9153168,-156.753207
Moonee Beach New South Wales AUSTRALIA,-30.1956084,153.1169904
"Fort Pierce Inlet State Park, St. Lucie County Florida USA",27.434832,-80.3901051
"North Kohala, Hawaii County Hawaii USA",20.2465687,-155.8835924
Wallabi Point New South Wales AUSTRALIA,-31.9904545,152.5458682
"Kihei, Maui Hawaii USA",20.7650743,-156.521333
"Kahului, Maui Hawaii USA",20.877901,-156.4914598
"Leadbetter Beach, Santa Barbara County California USA",34.4024155,-119.7013486
"Maalaea, South Maui Hawaii USA",20.8027683,-156.6181848
"Castle Rock, north of Dunsborough Western Australia AUSTRALIA",-33.5835177,115.0881915
"Cherie Down Park, Brevard County Florida USA",28.3918352,-80.599145
"Walls Beach, Vandenberg AFB, Santa Barbara County California USA",34.7069443,-120.6029065
"Kelpids Beach, Wylie Bay, Esperance Western Australia AUSTRALIA",-33.8320375,121.9899602
"Clarkes Beach, Byron Bay New South Wales AUSTRALIA",-28.640058,153.6198808
"Manomet Point, Plymouth, Plymouth County Massachusetts USA",41.9221287,-70.551021
"Fletcher Beach, Hutchinson Island, Martin County Florida USA",27.2054998,-80.17127
