,gmtoffset,lat,long,tz,tz_abb
700,-18000,26.3912537,-81.87104389999998,America/New_York,EST
701,39600,-30.8840947,153.039412,Australia/Sydney,AEDT
702,7200,-29.838023,31.035727299999998,Africa/Johannesburg,SAST
703,36000,-28.170836699999995,153.5303764,Australia/Brisbane,AEST
704,46800,-41.736661299999994,174.17093359999998,Pacific/Auckland,NZDT
705,46800,-36.3395675,174.78093330000002,Pacific/Auckland,NZDT
706,-28800,32.5112896,-117.091176,America/Tijuana,PST
707,-21600,-0.8674715000000001,-89.436391,Pacific/Galapagos,-06
708,36000,-27.833508600000002,153.42132080000002,Australia/Brisbane,AEST
709,39600,-33.89195,151.26099,Australia/Sydney,AEDT
710,-36000,21.594426199999997,-158.1148221,Pacific/Honolulu,HST
711,46800,-42.4008174,173.681386,Pacific/Auckland,NZDT
712,7200,-34.11231970000001,18.849207,Africa/Johannesburg,SAST
713,-18000,27.561594399999997,-80.3239796,America/New_York,EST
714,7200,-32.9715734,27.958582300000003,Africa/Johannesburg,SAST
715,-36000,20.689973300000002,-156.43922450000002,Pacific/Honolulu,HST
716,39600,-28.647367100000004,153.601977,Australia/Sydney,AEDT
717,36000,-10.6005556,142.23138889999998,Australia/Lindeman,AEST
718,-28800,34.01945429999999,-118.4911912,America/Los_Angeles,PST
719,-28800,41.0301251,-124.11228999999999,America/Los_Angeles,PST
720,7200,24.95,35.8333333,Africa/Cairo,EET
721,-18000,26.9478705,-80.07444579999998,America/New_York,EST
722,-36000,21.5572221,-157.8536111,Pacific/Honolulu,HST
723,-18000,33.9626271,-77.9261543,America/New_York,EST
724,-18000,38.6082012,-75.0637655,America/New_York,EST
725,-18000,24.9634826,-80.5684062,America/New_York,EST
726,-18000,33.630506,-78.96092790000002,America/New_York,EST
727,-18000,27.3459665,-82.56727269999998,America/New_York,EST
728,-28800,32.58394439999999,-117.11308490000002,America/Los_Angeles,PST
729,-28800,34.025921600000004,-118.7797571,America/Los_Angeles,PST
730,-36000,21.3833333,-157.7088889,Pacific/Honolulu,HST
731,23400,-12.188713,96.829396,Indian/Cocos,+0630
732,-18000,34.6990505,-76.7402108,America/New_York,EST
733,-18000,26.973888899999995,-77.6930556,America/Nassau,EST
734,-18000,24.575447399999998,-82.10334639999998,America/New_York,EST
735,-28800,34.0375408,-118.54171200000002,America/Los_Angeles,PST
